name,abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
Dewgong,"['Thick Fat', 'Hydration', 'Ice Body']",1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,70,5120,70,475,75,Sea Lion Pok¨¦mon,80,1000000,1.7,90,Jugon¥¸¥å¥´¥ó,50,87,70,95,70,water,ice,120,1,0
Grimer,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,80,5120,70,325,190,Sludge Pok¨¦mon,50,1000000,,80,Betbeter¥Ù¥È¥Ù¥¿©`,50,88,40,50,25,poison,poison,,1,0
Muk,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,105,5120,70,500,75,Sludge Pok¨¦mon,75,1000000,,105,Betbeton¥Ù¥È¥Ù¥È¥ó,50,89,65,100,50,poison,poison,,1,0
Shellder,"['Shell Armor', 'Skill Link', 'Overcoat']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,305,190,Bivalve Pok¨¦mon,100,1250000,0.3,30,Shellder¥·¥§¥ë¥À©`,50,90,45,25,40,water,,4,1,0
Cloyster,"['Shell Armor', 'Skill Link', 'Overcoat']",1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,95,5120,70,525,60,Bivalve Pok¨¦mon,180,1250000,1.5,50,Parshen¥Ñ¥ë¥·¥§¥ó,50,91,85,45,70,water,ice,132.5,1,0
Gastly,['Levitate'],0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,35,5120,70,310,190,Gas Pok¨¦mon,30,1059860,1.3,30,Ghos¥´©`¥¹,50,92,100,35,80,ghost,poison,0.1,1,0
Haunter,['Levitate'],0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,50,5120,70,405,90,Gas Pok¨¦mon,45,1059860,1.6,45,Ghost¥´©`¥¹¥È,50,93,115,55,95,ghost,poison,0.1,1,0
Gengar,['Cursed Body'],0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,65,5120,70,600,45,Shadow Pok¨¦mon,80,1059860,1.5,60,Gangar¥²¥ó¥¬©`,50,94,170,95,130,ghost,poison,40.5,1,0
Onix,"['Rock Head', 'Sturdy', 'Weak Armor']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,45,6400,70,385,45,Rock Snake Pok¨¦mon,160,1000000,8.8,35,Iwark¥¤¥ï©`¥¯,50,95,30,45,70,rock,ground,210,1,0
Drowzee,"['Insomnia', 'Forewarn', 'Inner Focus']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,48,5120,70,328,190,Hypnosis Pok¨¦mon,45,1000000,1,60,Sleepe¥¹¥ê©`¥×,50,96,43,90,42,psychic,,32.4,1,0
Hypno,"['Insomnia', 'Forewarn', 'Inner Focus']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,73,5120,70,483,75,Hypnosis Pok¨¦mon,70,1000000,1.6,85,Sleeper¥¹¥ê©`¥Ñ©`,50,97,73,115,67,psychic,,75.6,1,0
Krabby,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,105,5120,70,325,225,River Crab Pok¨¦mon,90,1000000,0.4,30,Crab¥¯¥é¥Ö,50,98,25,25,50,water,,6.5,1,0
Kingler,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,130,5120,70,475,60,Pincer Pok¨¦mon,115,1000000,1.3,55,Kingler¥­¥ó¥°¥é©`,50,99,50,50,75,water,,60,1,0
Voltorb,"['Soundproof', 'Static', 'Aftermath']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,30,5120,70,330,190,Ball Pok¨¦mon,50,1000000,0.5,40,Biriridama¥Ó¥ê¥ê¥À¥Þ,,100,55,55,100,electric,,10.4,1,0
Electrode,"['Soundproof', 'Static', 'Aftermath']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,50,5120,70,490,60,Ball Pok¨¦mon,70,1000000,1.2,60,Marumine¥Þ¥ë¥Þ¥¤¥ó,,101,80,80,150,electric,,66.6,1,0
Exeggcute,"['Chlorophyll', 'Harvest']",4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,40,5120,70,325,90,Egg Pok¨¦mon,80,1250000,0.4,60,Tamatama¥¿¥Þ¥¿¥Þ,50,102,60,45,40,grass,psychic,2.5,1,0
Exeggutor,"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']",4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,105,5120,70,530,45,Coconut Pok¨¦mon,85,1250000,,95,Nassy¥Ê¥Ã¥·©`,50,103,125,75,45,grass,psychic,,1,0
Cubone,"['Rock Head', 'Lightningrod', 'Battle Armor']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,5120,70,320,190,Lonely Pok¨¦mon,95,1000000,0.4,50,Karakara¥«¥é¥«¥é,50,104,40,50,35,ground,,6.5,1,0
Marowak,"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,80,5120,70,425,75,Bone Keeper Pok¨¦mon,110,1000000,,60,Garagara¥¬¥é¥¬¥é,50,105,50,80,45,ground,fire,,1,0
Hitmonlee,"['Limber', 'Reckless', 'Unburden']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,120,6400,70,455,45,Kicking Pok¨¦mon,53,1000000,1.5,50,Sawamular¥µ¥ï¥à¥é©`,100,106,35,110,87,fighting,,49.8,1,0
Hitmonchan,"['Keen Eye', 'Iron Fist', 'Inner Focus']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,105,6400,70,455,45,Punching Pok¨¦mon,79,1000000,1.4,50,Ebiwalar¥¨¥Ó¥ï¥é©`,100,107,35,110,76,fighting,,50.2,1,0
Lickitung,"['Own Tempo', 'Oblivious', 'Cloud Nine']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,55,5120,70,385,45,Licking Pok¨¦mon,75,1000000,1.2,90,Beroringa¥Ù¥í¥ê¥ó¥¬,50,108,60,75,30,normal,,65.5,1,0
Koffing,['Levitate'],0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,65,5120,70,340,190,Poison Gas Pok¨¦mon,95,1000000,0.6,40,Dogars¥É¥¬©`¥¹,50,109,60,45,35,poison,,1,1,0
Weezing,['Levitate'],0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,90,5120,70,490,60,Poison Gas Pok¨¦mon,120,1000000,1.2,65,Matadogas¥Þ¥¿¥É¥¬¥¹,50,110,85,70,60,poison,,9.5,1,0
Rhyhorn,"['Lightningrod', 'Rock Head', 'Reckless']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,85,5120,70,345,120,Spikes Pok¨¦mon,95,1250000,1,80,Sihorn¥µ¥¤¥Û©`¥ó,50,111,30,30,25,ground,rock,115,1,0
Rhydon,"['Lightningrod', 'Rock Head', 'Reckless']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,130,5120,70,485,60,Drill Pok¨¦mon,120,1250000,1.9,105,Sidon¥µ¥¤¥É¥ó,50,112,45,45,40,ground,rock,120,1,0
Chansey,"['Natural Cure', 'Serene Grace', 'Healer']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5,10240,140,450,30,Egg Pok¨¦mon,5,800000,1.1,250,Lucky¥é¥Ã¥­©`,0,113,35,105,50,normal,,34.6,1,0
Tangela,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,55,5120,70,435,45,Vine Pok¨¦mon,115,1000000,1,65,Monjara¥â¥ó¥¸¥ã¥é,50,114,100,40,60,grass,,35,1,0
Kangaskhan,"['Early Bird', 'Scrappy', 'Inner Focus']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,125,5120,70,590,45,Parent Pok¨¦mon,100,1000000,2.2,105,Garura¥¬¥ë©`¥é,0,115,60,100,100,normal,,80,1,0
Horsea,"['Swift Swim', 'Sniper', 'Damp']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,40,5120,70,295,225,Dragon Pok¨¦mon,70,1000000,0.4,30,Tattu¥¿¥Ã¥Ä©`,50,116,70,25,60,water,,8,1,0
Seadra,"['Poison Point', 'Sniper', 'Damp']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,440,75,Dragon Pok¨¦mon,95,1000000,1.2,55,Seadra¥·©`¥É¥é,50,117,95,45,85,water,,25,1,0
Goldeen,"['Swift Swim', 'Water Veil', 'Lightningrod']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,67,5120,70,320,225,Goldfish Pok¨¦mon,60,1000000,0.6,45,Tosakinto¥È¥µ¥­¥ó¥È,50,118,35,50,63,water,,15,1,0
Seaking,"['Swift Swim', 'Water Veil', 'Lightningrod']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,92,5120,70,450,60,Goldfish Pok¨¦mon,65,1000000,1.3,80,Azumao¥¢¥º¥Þ¥ª¥¦,50,119,65,80,68,water,,39,1,0
Staryu,"['Illuminate', 'Natural Cure', 'Analytic']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,5120,70,340,225,Starshape Pok¨¦mon,55,1250000,0.8,30,Hitodeman¥Ò¥È¥Ç¥Þ¥ó,,120,70,55,85,water,,34.5,1,0
Starmie,"['Illuminate', 'Natural Cure', 'Analytic']",2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,75,5120,70,520,60,Mysterious Pok¨¦mon,85,1250000,1.1,60,Starmie¥¹¥¿©`¥ß©`,,121,100,85,115,water,psychic,80,1,0
Mr. Mime,"['Soundproof', 'Filter', 'Technician']",1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,45,6400,70,460,45,Barrier Pok¨¦mon,65,1000000,1.3,40,Barrierd¥Ð¥ê¥ä©`¥É,50,122,100,120,90,psychic,fairy,54.5,1,0
Scyther,"['Swarm', 'Technician', 'Steadfast']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,110,6400,70,500,45,Mantis Pok¨¦mon,80,1000000,1.5,70,Strike¥¹¥È¥é¥¤¥¯,50,123,55,80,105,bug,flying,56,1,0
Jynx,"['Oblivious', 'Forewarn', 'Dry Skin']",2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,50,6400,70,455,45,Humanshape Pok¨¦mon,35,1000000,1.4,65,Rougela¥ë©`¥¸¥å¥é,0,124,115,95,95,ice,psychic,40.6,1,0
Electabuzz,"['Static', 'Vital Spirit']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,83,6400,70,490,45,Electric Pok¨¦mon,57,1000000,1.1,65,Eleboo¥¨¥ì¥Ö©`,75.4,125,95,85,105,electric,,30,1,0
Magmar,"['Flame Body', 'Vital Spirit']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,95,6400,70,495,45,Spitfire Pok¨¦mon,57,1000000,1.3,65,Boober¥Ö©`¥Ð©`,75.4,126,100,85,93,fire,,44.5,1,0
Pinsir,"['Hyper Cutter', 'Mold Breaker', 'Moxie']",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,155,6400,70,600,45,Stagbeetle Pok¨¦mon,120,1250000,1.5,65,Kailios¥«¥¤¥í¥¹,50,127,65,90,105,bug,,55,1,0
Tauros,"['Intimidate', 'Anger Point', 'Sheer Force']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,100,5120,70,490,45,Wild Bull Pok¨¦mon,95,1250000,1.4,75,Kentauros¥±¥ó¥¿¥í¥¹,100,128,40,70,110,normal,,88.4,1,0
Magikarp,"['Swift Swim', 'Rattled']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,10,1280,70,200,255,Fish Pok¨¦mon,55,1250000,0.9,20,Koiking¥³¥¤¥­¥ó¥°,50,129,15,20,80,water,,10,1,0
Gyarados,"['Intimidate', 'Moxie']",0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,155,1280,70,640,45,Atrocious Pok¨¦mon,109,1250000,6.5,95,Gyarados¥®¥ã¥é¥É¥¹,50,130,70,130,81,water,flying,235,1,0
Lapras,"['Water Absorb', 'Shell Armor', 'Hydration']",1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,85,10240,70,535,45,Transport Pok¨¦mon,80,1250000,2.5,130,Laplace¥é¥×¥é¥¹,50,131,85,95,60,water,ice,220,1,0
Ditto,"['Limber', 'Imposter']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,48,5120,70,288,35,Transform Pok¨¦mon,48,1000000,0.3,48,Metamon¥á¥¿¥â¥ó,,132,48,48,48,normal,,4,1,0
Eevee,"['Run Away', 'Adaptability', 'Anticipation']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,55,8960,70,325,45,Evolution Pok¨¦mon,50,1000000,0.3,55,Eievui¥¤©`¥Ö¥¤,88.1,133,45,65,55,normal,,6.5,1,0
Vaporeon,"['Water Absorb', 'Hydration']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,8960,70,525,45,Bubble Jet Pok¨¦mon,60,1000000,1,130,Showers¥·¥ã¥ï©`¥º,88.1,134,110,95,65,water,,29,1,0
Jolteon,"['Volt Absorb', 'Quick Feet']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,65,8960,70,525,45,Lightning Pok¨¦mon,60,1000000,0.8,65,Thunders¥µ¥ó¥À©`¥¹,88.1,135,110,95,130,electric,,24.5,1,0
Flareon,"['Flash Fire', 'Guts']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,130,8960,70,525,45,Flame Pok¨¦mon,60,1000000,0.9,65,Booster¥Ö©`¥¹¥¿©`,88.1,136,95,110,65,fire,,25,1,0
Porygon,"['Trace', 'Download', 'Analytic']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,5120,70,395,45,Virtual Pok¨¦mon,70,1000000,0.8,65,Porygon¥Ý¥ê¥´¥ó,,137,85,75,40,normal,,36.5,1,0
Omanyte,"['Swift Swim', 'Shell Armor', 'Weak Armor']",1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,40,7680,70,355,45,Spiral Pok¨¦mon,100,1000000,0.4,35,Omnite¥ª¥à¥Ê¥¤¥È,88.1,138,90,55,35,rock,water,7.5,1,0
Omastar,"['Swift Swim', 'Shell Armor', 'Weak Armor']",1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,60,7680,70,495,45,Spiral Pok¨¦mon,125,1000000,1,70,Omstar¥ª¥à¥¹¥¿©`,88.1,139,115,70,55,rock,water,35,1,0
Kabuto,"['Swift Swim', 'Battle Armor', 'Weak Armor']",1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,80,7680,70,355,45,Shellfish Pok¨¦mon,90,1000000,0.5,30,Kabuto¥«¥Ö¥È,88.1,140,55,45,55,rock,water,11.5,1,0
Kabutops,"['Swift Swim', 'Battle Armor', 'Weak Armor']",1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,115,7680,70,495,45,Shellfish Pok¨¦mon,105,1000000,1.3,60,Kabutops¥«¥Ö¥È¥×¥¹,88.1,141,65,70,80,rock,water,40.5,1,0
Aerodactyl,"['Rock Head', 'Pressure', 'Unnerve']",0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2,135,8960,70,615,45,Fossil Pok¨¦mon,85,1250000,1.8,80,Ptera¥×¥Æ¥é,88.1,142,70,95,150,rock,flying,59,1,0
Snorlax,"['Immunity', 'Thick Fat', 'Gluttony']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,110,10240,70,540,25,Sleeping Pok¨¦mon,65,1250000,2.1,160,Kabigon¥«¥Ó¥´¥ó,88.1,143,65,110,30,normal,,460,1,0
Articuno,"['Pressure', 'Snow Cloak']",0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,85,20480,35,580,3,Freeze Pok¨¦mon,100,1250000,1.7,90,Freezer¥Õ¥ê©`¥¶©`,,144,95,125,85,ice,flying,55.4,1,1
Zapdos,"['Pressure', 'Static']",0.5,1,1,1,1,0.5,1,0.5,1,0.5,0,2,1,1,1,2,0.5,1,90,20480,35,580,3,Electric Pok¨¦mon,85,1250000,1.6,90,Thunder¥µ¥ó¥À©`,,145,125,90,100,electric,flying,52.6,1,1
Moltres,"['Pressure', 'Flame Body']",0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,100,20480,35,580,3,Flame Pok¨¦mon,90,1250000,2,90,Fire¥Õ¥¡¥¤¥ä©`,,146,125,85,90,fire,flying,60,1,1
Dratini,"['Shed Skin', 'Marvel Scale']",1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,64,10240,35,300,45,Dragon Pok¨¦mon,45,1250000,1.8,41,Miniryu¥ß¥Ë¥ê¥å¥¦,50,147,50,50,50,dragon,,3.3,1,0
Dragonair,"['Shed Skin', 'Marvel Scale']",1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,84,10240,35,420,45,Dragon Pok¨¦mon,65,1250000,4,61,Hakuryu¥Ï¥¯¥ê¥å©`,50,148,70,70,70,dragon,,16.5,1,0
Dragonite,"['Inner Focus', 'Multiscale']",0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5,134,10240,35,600,45,Dragon Pok¨¦mon,95,1250000,2.2,91,Kairyu¥«¥¤¥ê¥å©`,50,149,100,100,80,dragon,flying,210,1,0
Mewtwo,"['Pressure', 'Unnerve']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,150,30720,0,780,3,Genetic Pok¨¦mon,70,1250000,2,106,Mewtwo¥ß¥å¥¦¥Ä©`,,150,194,120,140,psychic,,122,1,1
Mew,['Synchronize'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,100,30720,100,600,45,New Species Pok¨¦mon,100,1059860,0.4,100,Mew¥ß¥å¥¦,,151,100,100,100,psychic,,4,1,1
Chikorita,"['Overgrow', 'Leaf Guard']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,49,5120,70,318,45,Leaf Pok¨¦mon,65,1059860,0.9,45,Chicorita¥Á¥³¥ê©`¥¿,88.1,152,49,65,45,grass,,6.4,2,0
Bayleef,"['Overgrow', 'Leaf Guard']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,62,5120,70,405,45,Leaf Pok¨¦mon,80,1059860,1.2,60,Bayleaf¥Ù¥¤¥ê©`¥Õ,88.1,153,63,80,60,grass,,15.8,2,0
Meganium,"['Overgrow', 'Leaf Guard']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,82,5120,70,525,45,Herb Pok¨¦mon,100,1059860,1.8,80,Meganium¥á¥¬¥Ë¥¦¥à,88.1,154,83,100,80,grass,,100.5,2,0
Cyndaquil,"['Blaze', 'Flash Fire']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,52,5120,70,309,45,Fire Mouse Pok¨¦mon,43,1059860,0.5,39,Hinoarashi¥Ò¥Î¥¢¥é¥·,88.1,155,60,50,65,fire,,7.9,2,0
Quilava,"['Blaze', 'Flash Fire']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,64,5120,70,405,45,Volcano Pok¨¦mon,58,1059860,0.9,58,Magmarashi¥Þ¥°¥Þ¥é¥·,88.1,156,80,65,80,fire,,19,2,0
Typhlosion,"['Blaze', 'Flash Fire']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,84,5120,70,534,45,Volcano Pok¨¦mon,78,1059860,1.7,78,Bakphoon¥Ð¥¯¥Õ©`¥ó,88.1,157,109,85,100,fire,,79.5,2,0
Totodile,"['Torrent', 'Sheer Force']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,314,45,Big Jaw Pok¨¦mon,64,1059860,0.6,50,Waninoko¥ï¥Ë¥Î¥³,88.1,158,44,48,43,water,,9.5,2,0
Croconaw,"['Torrent', 'Sheer Force']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,80,5120,70,405,45,Big Jaw Pok¨¦mon,80,1059860,1.1,65,Alligates¥¢¥ê¥²¥¤¥Ä,88.1,159,59,63,58,water,,25,2,0
Feraligatr,"['Torrent', 'Sheer Force']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,105,5120,70,530,45,Big Jaw Pok¨¦mon,100,1059860,2.3,85,Ordile¥ª©`¥À¥¤¥ë,88.1,160,79,83,78,water,,88.8,2,0
Sentret,"['Run Away', 'Keen Eye', 'Frisk']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,46,3840,70,215,255,Scout Pok¨¦mon,34,1000000,0.8,35,Otachi¥ª¥¿¥Á,50,161,35,45,20,normal,,6,2,0
Furret,"['Run Away', 'Keen Eye', 'Frisk']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,76,3840,70,415,90,Long Body Pok¨¦mon,64,1000000,1.8,85,Ootachi¥ª¥ª¥¿¥Á,50,162,45,55,90,normal,,32.5,2,0
Hoothoot,"['Insomnia', 'Keen Eye', 'Tinted Lens']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,30,3840,70,262,255,Owl Pok¨¦mon,30,1000000,0.7,60,Hoho¥Û©`¥Û©`,50,163,36,56,50,normal,flying,21.2,2,0
Noctowl,"['Insomnia', 'Keen Eye', 'Tinted Lens']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,3840,70,452,90,Owl Pok¨¦mon,50,1000000,1.6,100,Yorunozuku¥è¥ë¥Î¥º¥¯,50,164,86,96,70,normal,flying,40.8,2,0
Ledyba,"['Swarm', 'Early Bird', 'Rattled']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,20,3840,70,265,255,Five Star Pok¨¦mon,30,800000,1,40,Rediba¥ì¥Ç¥£¥Ð,50,165,40,80,55,bug,flying,10.8,2,0
Ledian,"['Swarm', 'Early Bird', 'Iron Fist']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,35,3840,70,390,90,Five Star Pok¨¦mon,50,800000,1.4,55,Redian¥ì¥Ç¥£¥¢¥ó,50,166,55,110,85,bug,flying,35.6,2,0
Spinarak,"['Swarm', 'Insomnia', 'Sniper']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,60,3840,70,250,255,String Spit Pok¨¦mon,40,800000,0.5,40,Itomaru¥¤¥È¥Þ¥ë,50,167,40,40,30,bug,poison,8.5,2,0
Ariados,"['Swarm', 'Insomnia', 'Sniper']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,90,3840,70,400,90,Long Leg Pok¨¦mon,70,800000,1.1,70,Ariados¥¢¥ê¥¢¥É¥¹,50,168,60,70,40,bug,poison,33.5,2,0
Crobat,"['Inner Focus', 'Infiltrator']",0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,90,3840,70,535,90,Bat Pok¨¦mon,80,1000000,1.8,85,Crobat¥¯¥í¥Ð¥Ã¥È,50,169,70,80,130,poison,flying,75,2,0
Chinchou,"['Volt Absorb', 'Illuminate', 'Water Absorb']",1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,38,5120,70,330,190,Angler Pok¨¦mon,38,1250000,0.5,75,Chonchie¥Á¥ç¥ó¥Á©`,50,170,56,56,67,water,electric,12,2,0
Lanturn,"['Volt Absorb', 'Illuminate', 'Water Absorb']",1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,58,5120,70,460,75,Light Pok¨¦mon,58,1250000,1.2,125,Lantern¥é¥ó¥¿©`¥ó,50,171,76,76,67,water,electric,22.5,2,0
Pichu,"['Static', 'Lightningrod']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,40,2560,70,205,190,Tiny Mouse Pok¨¦mon,15,1000000,0.3,20,Pichu¥Ô¥Á¥å©`,50,172,35,35,60,electric,,2,2,0
Cleffa,"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,25,2560,140,218,150,Star Shape Pok¨¦mon,28,800000,0.3,50,Py¥Ô¥£,24.6,173,45,55,15,fairy,,3,2,0
Igglybuff,"['Cute Charm', 'Competitive', 'Friend Guard']",0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,30,2560,70,210,170,Balloon Pok¨¦mon,15,800000,0.3,90,Pupurin¥×¥×¥ê¥ó,24.6,174,40,20,15,normal,fairy,1,2,0
Togepi,"['Hustle', 'Serene Grace', 'Super Luck']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,20,2560,70,245,190,Spike Ball Pok¨¦mon,65,800000,0.3,35,Togepy¥È¥²¥Ô©`,88.1,175,40,65,20,fairy,,1.5,2,0
Togetic,"['Hustle', 'Serene Grace', 'Super Luck']",0.25,0.5,0,2,1,0.25,1,1,1,0.5,0,2,1,2,1,2,2,1,40,2560,70,405,75,Happiness Pok¨¦mon,85,800000,0.6,55,Togechick¥È¥²¥Á¥Ã¥¯,88.1,176,80,105,40,fairy,flying,3.2,2,0
